Paso 0:
x	Temperatura
0.653061	0.060915
0.673469	0.0122151
0.693878	0.00208556
0.714286	0.000304826
0.734694	3.82808e-05
0.755102	4.13919e-06
0.77551	3.85568e-07
0.795918	3.09114e-08
0.816327	2.12737e-09
0.836735	1.25129e-10
0.857143	6.2489e-12
0.877551	2.62502e-13
0.897959	9.1564e-15
0.918367	2.60451e-16
0.938776	5.88715e-18
0.959184	1.0173e-19
0.979592	1.26228e-21
1	0
-------------------------
Paso 26:
x	Temperatura
0	0
0.0204082	1.0944e-22
0.0408163	9.20287e-21
0.0612245	5.56716e-19
0.0816327	2.57977e-17
0.102041	9.52049e-16
0.122449	2.87205e-14
0.142857	7.21337e-13
0.163265	1.52842e-11
0.183673	2.75861e-10
0.204082	4.27081e-09
0.22449	5.69921e-08
0.244898	6.57599e-07
0.265306	6.57125e-06
0.285714	5.68809e-05
0.306122	0.000426012
0.326531	0.00275375
0.346939	0.015302
0.367347	0.0726902
0.387755	0.293017
0.408163	0.992844
0.428571	2.79432
0.44898	6.43832
0.469388	11.939
0.489796	17.4922
0.510204	19.9181
0.530612	17.4922
0.55102	11.939
0.571429	6.43832
0.591837	2.79432
0.612245	0.992844
0.632653	0.293017
0.653061	0.0726902
0.673469	0.015302
0.693878	0.00275375
0.714286	0.000426012
0.734694	5.68809e-05
0.755102	6.57125e-06
0.77551	6.57599e-07
0.795918	5.69921e-08
0.816327	4.27081e-09
0.836735	2.75861e-10
0.857143	1.52842e-11
0.877551	7.21337e-13
0.897959	2.87205e-14
0.918367	9.52049e-16
0.938776	2.57977e-17
0.959184	5.56716e-19
0.979592	9.20204e-21
1	0
-------------------------
Paso 27:
x	Temperatura
0	0
0.0204082	8.28459e-22
0.0408163	5.22944e-20
0.0612245	2.53302e-18
0.0816327	9.79086e-17
0.102041	3.10032e-15
0.122449	8.19306e-14
0.142857	1.83142e-12
0.163265	3.49735e-11
0.183673	5.74735e-10
0.204082	8.17054e-09
0.22449	1.00841e-07
0.244898	1.08282e-06
0.265306	1.01244e-05
0.285714	8.23972e-05
0.306122	0.000582765
0.326531	0.00357173
0.346939	0.0188907
0.367347	0.0857307
0.387755	0.331393
0.408163	1.08101
0.428571	2.94178
0.44898	6.58691
0.469388	11.9432
0.489796	17.2419
0.510204	19.5298
0.530612	17.2419
0.55102	11.9432
0.571429	6.58691
