x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
14.7447,1.00305e-05,0.1924,0.472578,0.528916,0.549158,0.55957,0.565912,0.57018
14.8048,9.91759e-06,0.19102,0.469277,0.525233,0.545338,0.555679,0.561978,0.566217
14.8649,9.8069e-06,0.189509,0.465586,0.521102,0.54105,0.551309,0.557559,0.561764
14.9249,9.69931e-06,0.187913,0.461634,0.516672,0.536448,0.546619,0.552814,0.556984
14.985,9.59573e-06,0.186292,0.457581,0.512124,0.531721,0.5418,0.54794,0.552072
15.045,9.4971e-06,0.184708,0.453605,0.507659,0.52708,0.537069,0.543153,0.547247
15.1051,9.40434e-06,0.183228,0.449886,0.503483,0.522739,0.532642,0.538675,0.542735
15.1652,9.31828e-06,0.181911,0.446594,0.499788,0.518898,0.528727,0.534714,0.538743
15.2252,9.23967e-06,0.18081,0.443873,0.496738,0.515731,0.525499,0.531449,0.535453
15.2853,9.16906e-06,0.179963,0.441833,0.494458,0.513365,0.523089,0.529012,0.532998
15.3453,9.10686e-06,0.179394,0.440535,0.493019,0.511875,0.521573,0.527481,0.531456
15.4054,9.05328e-06,0.179105,0.439992,0.492435,0.511277,0.520968,0.52687,0.530843
15.4655,9.00832e-06,0.179083,0.440165,0.492661,0.511522,0.521223,0.527133,0.531109
15.5255,8.97182e-06,0.179296,0.440964,0.493595,0.512506,0.522233,0.528158,0.532145
15.5856,8.94346e-06,0.179697,0.442259,0.49509,0.514074,0.523838,0.529786,0.533789
15.6456,8.92282e-06,0.180229,0.443889,0.496961,0.516033,0.525844,0.531819,0.535841
15.7057,8.9094e-06,0.180827,0.445674,0.499006,0.518172,0.528031,0.534036,0.538078
15.7658,8.9027e-06,0.181428,0.447433,0.501015,0.520273,0.530179,0.536214,0.540275
15.8258,8.90223e-06,0.18197,0.448995,0.502797,0.522135,0.532083,0.538142,0.542221
15.8859,8.9076e-06,0.182404,0.450217,0.504189,0.523588,0.533567,0.539646,0.543738
15.9459,8.91851e-06,0.182692,0.450996,0.505072,0.524509,0.534507,0.540598,0.544698
16.006,8.93482e-06,0.182816,0.451276,0.505383,0.52483,0.534835,0.540929,0.545031
16.0661,8.95653e-06,0.182775,0.451056,0.505118,0.52455,0.534546,0.540635,0.544734
16.1261,8.98376e-06,0.182589,0.450385,0.504338,0.523729,0.533704,0.53978,0.54387
16.1862,9.01681e-06,0.182292,0.449367,0.503156,0.522488,0.532432,0.538489,0.542566
16.2462,9.05603e-06,0.181938,0.448145,0.501737,0.520997,0.530904,0.536938,0.541
16.3063,9.10185e-06,0.181588,0.446893,0.500279,0.519463,0.529331,0.535341,0.539387
